"";"CTR1_24h";"CTR2_24h";"CTR3_24h";"CTR4_24h";"EV1_24h";"EV2_24h";"EV3_24h";"EV4_24h"
"ENSG00000288531";0;3;0;0;0;0;0;0
"ENSG00000230368|FAM41C";3;6;2;4;3;4;2;5
"ENSG00000234711|TUBB8P11";0;0;0;0;0;0;0;0
"ENSG00000283040";0;0;0;0;0;0;0;0
"ENSG00000188290|HES4";25;42;33;20;17;39;24;47
"ENSG00000187608|ISG15";357;394;331;425;376;370;384;400
"ENSG00000231702";0;0;0;0;0;0;0;0
"ENSG00000224969";0;0;0;3;0;0;3;0
"ENSG00000187583|PLEKHN1";83;57;35;25;21;40;48;50
"ENSG00000187642|PERM1";4;13;12;6;4;0;14;8
"ENSG00000291156";11;11;23;16;18;11;18;9
"ENSG00000273443";0;5;0;0;0;0;0;0
"ENSG00000217801";0;0;0;0;8;0;0;0
"ENSG00000186891|TNFRSF18";0;0;7;0;6;17;7;8
"ENSG00000186827|TNFRSF4";0;0;0;0;3;0;0;0
"ENSG00000131591|C1orf159";390;397;329;335;258;236;229;277
"ENSG00000285812";0;0;0;0;0;0;0;0
"ENSG00000223972|DDX11L1";0;0;0;0;0;0;0;0
"ENSG00000237613|FAM138A";0;2;2;0;2;0;0;0
"ENSG00000268020|OR4G4P";0;0;0;0;0;0;0;0
"ENSG00000290826";0;0;0;0;0;0;0;0
"ENSG00000240361|OR4G11P";0;0;0;0;0;0;0;0
"ENSG00000186092|OR4F5";0;0;0;0;0;0;0;1
"ENSG00000239945";0;2;0;0;0;0;0;0
"ENSG00000238009";4;12;9;5;4;5;6;8
"ENSG00000233750|CICP27";0;0;0;0;0;0;0;0
"ENSG00000222623|RNU6-1100P";0;0;0;1;0;0;0;0
"ENSG00000241599";0;0;0;0;0;0;0;0
"ENSG00000292994";28;61;39;33;41;60;30;44
"ENSG00000286448";0;0;0;0;0;0;0;0
"ENSG00000236601";0;0;0;0;0;0;0;0
"ENSG00000290385";54;50;45;47;76;32;35;46
"ENSG00000269732|WBP1LP7";0;0;0;0;0;0;0;0
"ENSG00000233653|CICP7";0;0;0;0;0;0;0;0
"ENSG00000278757|U6";2;0;0;1;0;0;0;0
"ENSG00000293331";10;12;8;8;13;11;16;23
"ENSG00000235146";0;0;0;0;0;0;0;0
"ENSG00000278791";0;0;0;0;0;0;0;0
"ENSG00000229344|MTCO2P12";0;0;0;3;0;0;0;0
"ENSG00000268663|WBP1LP6";0;0;0;0;0;0;0;0
"ENSG00000229376|CICP3";0;0;0;0;0;0;0;0
"ENSG00000223181|RNU6-1199P";0;1;3;0;0;0;0;0
"ENSG00000229905";0;0;0;0;0;0;0;0
"ENSG00000237491|LINC01409";83;34;61;34;21;26;40;48
"ENSG00000228794|LINC01128";579;536;463;438;391;437;418;415
"ENSG00000290825|DDX11L2";2;0;0;0;0;0;0;0
"ENSG00000227232|WASH7P";461;520;459;419;485;526;426;530
"ENSG00000278267|MIR6859-1";11;22;17;16;20;17;8;15
"ENSG00000243485|MIR1302-2HG";1;2;1;2;3;0;1;0
"ENSG00000284332|MIR1302-2";0;0;0;0;1;0;1;0
"ENSG00000268903";0;2;0;1;1;0;1;1
"ENSG00000269981";1;0;0;0;0;1;0;0
"ENSG00000239906";0;2;2;2;0;4;0;0
"ENSG00000241860";57;61;70;39;93;59;51;54
"ENSG00000279928|DDX11L17";0;3;5;0;0;0;0;0
"ENSG00000279457|WASH9P";374;399;356;309;382;430;345;505
"ENSG00000273874|MIR6859-2";7;9;9;10;9;7;5;10
"ENSG00000228463";8;10;4;13;17;22;10;10
"ENSG00000236679|RPL23AP24";3;5;4;2;4;3;3;3
"ENSG00000284733|OR4F29";0;2;1;3;0;2;0;1
"ENSG00000237094";1;1;1;1;1;1;1;1
"ENSG00000250575";1;7;0;2;3;3;1;1
"ENSG00000225972|MTND1P23";4;6;6;2;0;5;4;1
"ENSG00000225630|MTND2P28";72;48;44;50;47;36;30;45
"ENSG00000237973|MTCO1P12";3882;3266;2656;2817;3354;3526;3560;3977
"ENSG00000240409|MTATP8P1";0;0;0;0;0;0;0;0
"ENSG00000248527|MTATP6P1";198;148;98;148;96;96;150;145
"ENSG00000198744|MTCO3P12";3;3;6;9;0;6;7;2
"ENSG00000284662|OR4F16";0;2;1;3;0;2;0;1
"ENSG00000230021";1;1;1;1;1;1;1;1
"ENSG00000291215";159;168;148;133;143;107;88;117
"ENSG00000228327";1;0;2;1;0;2;1;0
"ENSG00000285268";1;1;1;1;1;1;1;1
"ENSG00000290784";4;16;6;15;9;11;13;24
"ENSG00000230092";5;3;12;17;18;29;15;2
"ENSG00000177757|FAM87B";13;18;13;14;11;3;0;3
"ENSG00000225880|LINC00115";110;116;31;51;49;120;76;42
"ENSG00000188157|AGRN";2139;2587;2253;1833;2296;2626;2312;2836
"ENSG00000242590";0;1;1;0;0;1;0;0
"ENSG00000272438";6;0;0;0;6;0;7;7
"ENSG00000241180";0;0;0;0;0;0;0;0
"ENSG00000223764|LINC02593";335;572;519;422;307;331;266;351
"ENSG00000187634|SAMD11";621;887;754;462;297;378;214;245
"ENSG00000230699";14;36;22;23;34;55;15;18
"ENSG00000188976|NOC2L";3894;3702;3168;2927;2476;2601;2428;2447
"ENSG00000187961|KLHL17";538;510;383;393;470;419;313;366
"ENSG00000176022|B3GALT6";1884;1804;1511;1409;1309;1466;1262;1503
"ENSG00000078808|SDF4";8531;9640;7730;6908;7763;9425;7570;9724
"ENSG00000184163|C1QTNF12";24;31;21;45;9;65;29;56
"ENSG00000160087|UBE2J2";1782;1793;1515;1312;1224;1371;1058;1504
"ENSG00000260179";12;9;16;2;7;7;3;3
"ENSG00000107404|DVL1";3212;3308;2643;2402;2547;2661;2495;2897
"ENSG00000169962|TAS1R3";39;63;71;44;93;151;131;167
"ENSG00000284372|MIR6808";0;0;1;1;1;1;1;1
"ENSG00000162572|SCNN1D";189;333;211;178;309;293;247;298
"ENSG00000278073|MIR6726";0;0;3;1;1;4;0;0
"ENSG00000127054|INTS11";2352;2105;1992;1740;1890;1908;1768;2028
"ENSG00000230415|LINC01786";30;52;34;21;47;34;22;29
"ENSG00000131584|ACAP3";2504;2729;1867;1674;1997;2085;1814;2182
"ENSG00000169972|PUSL1";718;804;629;400;566;658;498;641
"ENSG00000283712|MIR6727";1;1;1;1;1;0;0;1
"ENSG00000240731";43;26;37;16;27;34;22;28
"ENSG00000224051|CPTP";1105;902;906;810;767;771;776;1052
"ENSG00000175756|AURKAIP1";2178;2140;1581;1507;1368;1542;1289;1575
"ENSG00000162576|MXRA8";17470;22027;18512;16285;18386;22048;19658;23197
"ENSG00000235098|ANKRD65";31;88;55;57;104;109;90;137
"ENSG00000225905|ANKRD65-AS1";0;0;1;3;0;3;0;3
"ENSG00000205116|TMEM88B";0;8;0;0;0;0;0;0
"ENSG00000179403|VWA1";324;342;197;241;343;312;347;518
"ENSG00000224870|MRPL20-AS1";661;702;610;450;630;736;626;753
"ENSG00000242485|MRPL20";1892;1850;1592;1486;1397;1442;1263;1531
"ENSG00000264293|RN7SL657P";1;4;1;3;1;1;1;1
"ENSG00000272455|MRPL20-DT";134;83;48;61;78;73;58;97
"ENSG00000221978|CCNL2";6154;6714;5654;5043;6439;6683;4731;6946
"ENSG00000205090|TMEM240";92;101;60;58;57;49;52;130
"ENSG00000215915|ATAD3C";47;43;43;36;20;32;28;31
"ENSG00000160072|ATAD3B";1494;1192;1146;878;786;751;574;656
"ENSG00000290916";6;0;8;0;0;0;0;0
"ENSG00000197785|ATAD3A";2114;1627;1239;1098;901;929;882;977
"ENSG00000284740";0;0;0;0;0;0;0;0
"ENSG00000228594|FNDC10";416;272;281;233;256;268;292;333
"ENSG00000286989";30;25;12;21;16;31;22;13
"ENSG00000215014";25;28;14;18;4;16;9;13
"ENSG00000160075|SSU72";3071;2551;2234;2036;2332;2499;2505;2753
"ENSG00000197530|MIB2";1858;2411;1773;1556;2037;2351;1758;2223
"ENSG00000272106";147;197;116;143;183;206;133;129
"ENSG00000008130|NADK";2435;2472;2125;1993;2248;2397;2085;2282
"ENSG00000189409|MMP23B";21;31;4;24;11;26;25;20
"ENSG00000248333|CDK11B";1022;885;737;757;788;760;634;690
"ENSG00000293187";0;0;5;1;0;0;0;0
"ENSG00000269737";0;0;0;0;0;0;0;0
"ENSG00000008128|CDK11A";396;380;313;250;314;296;301;299
"ENSG00000293188";10;0;0;10;11;0;0;9
"ENSG00000227775";0;0;0;0;0;0;0;0
"ENSG00000272004";2;3;4;0;1;1;1;2
"ENSG00000189339|SLC35E2B";3067;3401;2978;2747;3542;3948;3199;4537
"ENSG00000215914|MMP23A";18;27;5;22;0;19;18;13
"ENSG00000268575";821;839;632;780;897;995;771;992
"ENSG00000290854";487;548;453;414;673;574;458;808
"ENSG00000215790|SLC35E2A";62;74;55;47;39;143;108;94
"ENSG00000169885|CALML6";5;16;16;29;13;36;19;32
"ENSG00000178821|TMEM52";23;13;9;0;12;11;21;25
"ENSG00000157933|SKI";1629;1393;1227;1179;1009;1305;1135;1409
"ENSG00000067606|PRKCZ";70;35;53;60;49;38;43;43
"ENSG00000271806";0;0;0;0;0;0;0;0
"ENSG00000162585|FAAP20";746;773;570;541;689;592;574;707
"ENSG00000234396";0;0;0;0;0;0;0;0
"ENSG00000182873|PRKCZ-AS1";8;22;8;24;26;6;11;27
"ENSG00000078369|GNB1";11200;10246;8813;8988;7496;8331;7018;8814
"ENSG00000231050|GNB1-DT";2;12;0;11;7;7;21;13
"ENSG00000149527|PLCH2";20;0;5;31;0;0;0;4
"ENSG00000224387";0;0;0;0;0;0;0;0
"ENSG00000229393";0;0;0;0;0;0;0;0
"ENSG00000197921|HES5";14;11;0;0;0;0;0;10
"ENSG00000272449";7;2;3;18;4;13;0;3
"ENSG00000157881|PANK4";1336;1246;1138;950;1000;1003;889;1066
